match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id
J03WMX,firstHalf,Home,Play_Pass,2092.454,2023-05-27 16:05:04.684000+02:00,74.34,7.32,2,4,DFL-OBJ-00012X,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,2096.397,2023-05-27 16:05:08.627000+02:00,91.77,28.99,4,7,DFL-OBJ-0002HE,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,2098.189,2023-05-27 16:05:10.419000+02:00,84.46,40.72,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,2102.764,2023-05-27 16:05:14.994000+02:00,73.14,29.59,12,0,DFL-OBJ-002G4A,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,2106.998,2023-05-27 16:05:19.228000+02:00,60.62,24.27,0,16,DFL-OBJ-0027AX,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,2109.549,2023-05-27 16:05:21.779000+02:00,75.74,16.15,16,12,DFL-OBJ-J01D1W,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,2112.352,2023-05-27 16:05:24.582000+02:00,68.53,35.0,12,18,DFL-OBJ-002G4A,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,2115.183,2023-05-27 16:05:27.413000+02:00,54.7,28.38,18,7,DFL-OBJ-002GKO,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,2116.734,2023-05-27 16:05:28.964000+02:00,70.23,50.55,7,16,DFL-OBJ-0027B6,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,2126.145,2023-05-27 16:05:38.375000+02:00,80.55,18.96,16,12,DFL-OBJ-J01D1W,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,2130.441,2023-05-27 16:05:42.671000+02:00,78.25,28.28,12,7,DFL-OBJ-002G4A,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,2132.528,2023-05-27 16:05:44.758000+02:00,73.04,52.35,7,5,DFL-OBJ-0027B6,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,2134.635,2023-05-27 16:05:46.865000+02:00,57.81,66.6,5,7,DFL-OBJ-0002BO,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,2138.272,2023-05-27 16:05:50.502000+02:00,71.84,64.39,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,2147.374,2023-05-27 16:05:59.604000+02:00,77.65,41.32,12,5,DFL-OBJ-002G4A,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,2149.182,2023-05-27 16:06:01.412000+02:00,52.0,66.8,5,14,DFL-OBJ-0002BO,DFL-OBJ-J01BGM,
J03WMX,firstHalf,Home,Play_Pass,2279.966,2023-05-27 16:08:12.196000+02:00,51.6,23.27,0,7,DFL-OBJ-0027AX,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,2281.72,2023-05-27 16:08:13.950000+02:00,65.32,32.8,7,0,DFL-OBJ-0027B6,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,2285.433,2023-05-27 16:08:17.663000+02:00,54.8,23.27,0,16,DFL-OBJ-0027AX,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,2287.305,2023-05-27 16:08:19.535000+02:00,66.93,18.55,16,2,DFL-OBJ-J01D1W,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,2289.427,2023-05-27 16:08:21.657000+02:00,55.81,3.61,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,2291.836,2023-05-27 16:08:24.066000+02:00,75.84,16.25,16,4,DFL-OBJ-J01D1W,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,2295.159,2023-05-27 16:08:27.389000+02:00,91.88,31.49,4,7,DFL-OBJ-0002HE,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,2298.96,2023-05-27 16:08:31.190000+02:00,76.55,52.45,7,0,DFL-OBJ-0027B6,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,2302.906,2023-05-27 16:08:35.136000+02:00,51.0,25.68,0,2,DFL-OBJ-0027AX,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,2306.51,2023-05-27 16:08:38.740000+02:00,43.88,5.52,2,0,DFL-OBJ-00012X,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,2310.116,2023-05-27 16:08:42.346000+02:00,51.3,16.55,0,12,DFL-OBJ-0027AX,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,2311.69,2023-05-27 16:08:43.920000+02:00,55.91,30.59,12,16,DFL-OBJ-002G4A,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,2315.619,2023-05-27 16:08:47.849000+02:00,56.81,15.85,16,9,DFL-OBJ-J01D1W,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,2321.147,2023-05-27 16:08:53.377000+02:00,17.53,4.61,9,18,DFL-OBJ-0028BD,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,2324.384,2023-05-27 16:08:56.614000+02:00,33.46,32.6,18,7,DFL-OBJ-002GKO,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,2325.928,2023-05-27 16:08:58.158000+02:00,43.98,46.34,7,5,DFL-OBJ-0027B6,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,2331.245,2023-05-27 16:09:03.475000+02:00,32.26,67.1,5,7,DFL-OBJ-0002BO,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,2332.624,2023-05-27 16:09:04.854000+02:00,38.77,56.77,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,2337.465,2023-05-27 16:09:09.695000+02:00,47.89,49.65,12,16,DFL-OBJ-002G4A,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,2339.332,2023-05-27 16:09:11.562000+02:00,50.3,11.33,16,9,DFL-OBJ-J01D1W,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,2349.218,2023-05-27 16:09:21.448000+02:00,37.87,6.02,9,2,DFL-OBJ-0028BD,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,2352.153,2023-05-27 16:09:24.383000+02:00,38.17,11.83,2,9,DFL-OBJ-00012X,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,2414.475,2023-05-27 16:10:26.705000+02:00,25.55,67.0,14,5,DFL-OBJ-J01BGM,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,2416.222,2023-05-27 16:10:28.452000+02:00,27.05,64.29,5,18,DFL-OBJ-0002BO,DFL-OBJ-002GKO,
